probe_id,source,question_tag,query,item_text,esci_label,relevance_score,pair_group_id,expected_direction,target_tokens_query,target_tokens_item,notes,tag_reason,tag_confidence,tag_source
esci_0314,esci,other_lexical,# mom life,"Dearfoams Women's Giftable Mothers Day Furry Scuff Slipper, Mom Life, X-Large",Irrelevant,0,grp_0014,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0000,esci,negation,#10 window envelopes not self seal,"Office Deed 500#10 Envelopes SELF SEAL Business Envelope Single Window Design, Security Tint Pattern for Secure Mailing, Invoices, Statements & Legal Document, 4-1/8 x 9-1/2 Inches",Exact,3,grp_0015,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0249,esci,negation,#10 window envelopes not self seal,"500#8 Double Window Self Seal Security Envelopes - for Business Checks, QuickBooks & Quicken Checks, Size 3 5/8 x 8 11/16 Inches - Checks Fit Perfectly - Not for Invoices, 500 Count(30180)",Irrelevant,0,grp_0015,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0089,esci,negation,#10 window envelopes not self seal,"#8 Double Window Security Check Envelopes, No.8 Double Window Bussiness Envelopes Designed for QuickBooks Checks - Computer Printed Checks - 3 5/8 X 8 11/16 (NOT for INVOICES) - 24 LB - 500 Count",Exact,3,grp_0016,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0174,esci,negation,#10 window envelopes not self seal,"Ohuhu 500 Pack # 8 Double Window Envelope SELF SEAL Adhesive Tinted Security Envelopes Quickbooks Check, Business Check, Documents Secure Mailing, 3 5/8"" x 8 11/16"", White Envelope",Irrelevant,0,grp_0016,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0089,esci,negation,#10 window envelopes not self seal,"#8 Double Window Security Check Envelopes, No.8 Double Window Bussiness Envelopes Designed for QuickBooks Checks - Computer Printed Checks - 3 5/8 X 8 11/16 (NOT for INVOICES) - 24 LB - 500 Count",Exact,3,grp_0017,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0249,esci,negation,#10 window envelopes not self seal,"500#8 Double Window Self Seal Security Envelopes - for Business Checks, QuickBooks & Quicken Checks, Size 3 5/8 x 8 11/16 Inches - Checks Fit Perfectly - Not for Invoices, 500 Count(30180)",Irrelevant,0,grp_0017,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0140,esci,negation,#1 best and not expensive bath back brush cream color,"Chikoni Dry Bath Body Brush Back Scrubber with Anti-slip Long Wooden Handle, 100% Natural Bristles Body Massager, Perfect for Exfoliating, Detox and Cellulite, Blood Circulation, Good for Health",Exact,3,grp_0018,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0036,esci,negation,#1 best and not expensive bath back brush cream color,"Bio-Oil Skincare Oil, Body Oil for Scars and Stretchmarks, Serum Hydrates Skin, Non-Greasy, Dermatologist Recommended, Non-Comedogenic, For All Skin Types, with Vitamin A, E, 4.2 Fl Oz (Pack of 1)",Irrelevant,0,grp_0018,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0192,esci,other_lexical,#1 best and not expensive bath back brush cream color,"Amazon Basics Silicone, Non-Stick, Food Safe Baking Mat - Pack of 2",Exact,3,grp_0019,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0003,esci,negation,#1 best and not expensive bath back brush cream color,"Holikme 20Piece Drill Brush Attachments Set, Scrub Pads & Sponge, Buffing Pads, Power Scrubber Brush with Extend Long Attachment, Car Polishing Pad Kit",Irrelevant,0,grp_0019,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0192,esci,other_lexical,#1 best and not expensive bath back brush cream color,"Amazon Basics Silicone, Non-Stick, Food Safe Baking Mat - Pack of 2",Exact,3,grp_0020,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0036,esci,negation,#1 best and not expensive bath back brush cream color,"Bio-Oil Skincare Oil, Body Oil for Scars and Stretchmarks, Serum Hydrates Skin, Non-Greasy, Dermatologist Recommended, Non-Comedogenic, For All Skin Types, with Vitamin A, E, 4.2 Fl Oz (Pack of 1)",Irrelevant,0,grp_0020,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0288,esci,negation,people not a fan shirt,Disagree Graphic Novelty Sarcastic Funny T Shirt XL Black,Exact,3,grp_0021,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0005,esci,negation,people not a fan shirt,Feelin Good Tees My Opinion Offended You Adult Humor T Shirt XL Black,Substitute,2,grp_0021,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0288,esci,negation,people not a fan shirt,Disagree Graphic Novelty Sarcastic Funny T Shirt XL Black,Exact,3,grp_0022,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0084,esci,negation,people not a fan shirt,Some People Just Need A Pat On The Back T Shirt XL Black,Substitute,2,grp_0022,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0005,esci,negation,people not a fan shirt,Feelin Good Tees My Opinion Offended You Adult Humor T Shirt XL Black,Substitute,2,grp_0023,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0189,esci,negation,people not a fan shirt,I Got Your Back Graphic Novelty Sarcastic Funny T Shirt XL Black1,Irrelevant,0,grp_0023,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0109,esci,other_lexical,parting crowd black friday shirt,Never Forget Graphic Novelty Sarcastic Funny T Shirt L Charcoal,Substitute,2,grp_0024,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0344,esci,other_lexical,parting crowd black friday shirt,People Who Tolerate Me On A Daily Basis T Shirt L Black,Irrelevant,0,grp_0024,should_rank_lower,,,esci_sample,openai_judge,heuristic,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0226,esci,other_lexical,parting crowd black friday shirt,All Fun and Games Graphic Novelty T Shirt XL Charcoal,Substitute,2,grp_0025,should_rank_higher,,,esci_sample,openai_judge,heuristic,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0006,esci,attribute_match,parting crowd black friday shirt,Currently Unsupervised Novelty Graphic Sarcastic Funny T Shirt XL Black,Irrelevant,0,grp_0025,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0226,esci,other_lexical,parting crowd black friday shirt,All Fun and Games Graphic Novelty T Shirt XL Charcoal,Substitute,2,grp_0026,should_rank_higher,,,esci_sample,openai_judge,heuristic,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0344,esci,other_lexical,parting crowd black friday shirt,People Who Tolerate Me On A Daily Basis T Shirt L Black,Irrelevant,0,grp_0026,should_rank_lower,,,esci_sample,openai_judge,heuristic,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0129,esci,negation,10 open window envelopes without plastic window,"#10 Security Self-Seal Envelopes, Windowless Design, Premium Security Tint Pattern, Ultra Strong Quick-Seal Closure - EnveGuard - Size 4-1/8 x 9-1/2 Inches - White - 24 LB - 500 Count (34010)",Exact,3,grp_0027,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0154,esci,negation,10 open window envelopes without plastic window,"500#10 Double Window Security Business Mailing Envelopes - for Invoices, Statements and Legal Documents - GUMMED Closure, Security Tinted - Size 4-1/8 x 9-1/2 - White - 24 LB - 500 Count (30101)",Substitute,2,grp_0027,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0093,esci,negation,#2 pencils with erasers sharpened not soft,Color Changing Mood Pencil for Kid 2B Changing Pencil Assorted Color Thermochromic Pencils with Eraser for Students (30 Pieces),Exact,3,grp_0028,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0182,esci,negation,#2 pencils with erasers sharpened not soft,"Ticonderoga Beginner Pencils, Wood-Cased #2 HB Soft, With Eraser, Yellow, 12-Pack (13308)",Substitute,2,grp_0028,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0086,esci,negation,# 2 pencils not sharpened,"Emraw No 2 HB Wood Cased Premium Pencils with Eraser Top, Bulk Pack of 24 Unsharpened Pencil - for Kids, Students, Teachers, Office and Home Use",Exact,3,grp_0029,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0315,esci,negation,# 2 pencils not sharpened,"Emraw Pre Sharpened Triangular Primary Size No 2 Jumbo Pencils for Preschoolers, Elementary Kids - Pack of 6 Fat Pencils with Bonus Sharpener",Irrelevant,0,grp_0029,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0014,esci,negation,# 2 pencils not sharpened,"Rarlan Wood-Cased #2 HB Pencils, Pre-sharpened, 200 Count Classpack",Exact,3,grp_0030,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0099,esci,negation,# 2 pencils not sharpened,"Arteza HB Pencils #2, Pack of 48, Wood-Cased Graphite Pencils in Bulk, Pre-Sharpened, with Latex-Free Erasers, Office & School Supplies for Exams and Classrooms",Complement,1,grp_0030,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0086,esci,negation,# 2 pencils not sharpened,"Emraw No 2 HB Wood Cased Premium Pencils with Eraser Top, Bulk Pack of 24 Unsharpened Pencil - for Kids, Students, Teachers, Office and Home Use",Exact,3,grp_0031,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0099,esci,negation,# 2 pencils not sharpened,"Arteza HB Pencils #2, Pack of 48, Wood-Cased Graphite Pencils in Bulk, Pre-Sharpened, with Latex-Free Erasers, Office & School Supplies for Exams and Classrooms",Complement,1,grp_0031,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0018,esci,other_lexical,# mom life,Waldeal Embroidered Mom Life Vintage Adjustable Baseball Cap Cotton Denim Dad Hat Black,Exact,3,grp_0032,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0314,esci,other_lexical,# mom life,"Dearfoams Women's Giftable Mothers Day Furry Scuff Slipper, Mom Life, X-Large",Irrelevant,0,grp_0032,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0032,esci,other_lexical,# mom life,Distressed Baseball Cap - Mom Life (Black),Exact,3,grp_0033,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0314,esci,other_lexical,# mom life,"Dearfoams Women's Giftable Mothers Day Furry Scuff Slipper, Mom Life, X-Large",Irrelevant,0,grp_0033,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0051,esci,negation,#10 window envelopes without plastic,"#10 Security Tinted Self-Seal Envelopes - No Window - EnveGuard, Size 4-1/8 X 9-1/2 Inches - White - 24 LB - 100 Count (34100)",Exact,3,grp_0034,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0198,esci,negation,#10 window envelopes without plastic,"Clear Plastic Small Blank Envelope Pouch for Packing List - Return Label (Not for standard shipping labels) , Documents Keeps Paper Safe While Shipping Size 4” x 6” by MT Products (100 Pieces)",Irrelevant,0,grp_0034,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0022,esci,negation,#10 window envelopes without plastic,"500#10 Double Window Security Business Mailing Envelopes - for Invoices, Statements and Legal Documents - GUMMED Closure, Security Tinted - Size 4-1/8 x 9-1/2 - White - 24 LB - 500 Count (30101)",Exact,3,grp_0035,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0060,esci,negation,#10 window envelopes without plastic,"Amazon Basics #9 Envelopes with Peel & Seal, Double Window, Security Tinted, 500-Pack",Substitute,2,grp_0035,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0022,esci,negation,#10 window envelopes without plastic,"500#10 Double Window Security Business Mailing Envelopes - for Invoices, Statements and Legal Documents - GUMMED Closure, Security Tinted - Size 4-1/8 x 9-1/2 - White - 24 LB - 500 Count (30101)",Exact,3,grp_0036,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0066,esci,negation,#10 window envelopes without plastic,"Amazon Basics #9 Double Window Security Tinted Envelopes, White, 500 ct",Substitute,2,grp_0036,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
